band	switch_water	lower_water     upper_water	    switch_land	lower_land	upper_land  lam_theo  E0
1   1   1   2   1   1   2   400.0  1513.6257
2   1   1   3   1   1   3   412.5  1708.0474
3   1   2   4   1   2   4   442.5  1889.9923
4   1   3   5   1   3   5   490.0  1936.2612
5   1   4   6   1   4   6   510.0  1919.6490
6   1   5   7   1   5   7   560.0  1796.8542
7   1   6   8   1   6   8   620.0  1649.1400
8   1   7   9   1   7   9   665.0  1530.1553
9   1   8   9   1   8   10  673.75  1494.7185
10  0   0   0   1   9   11  681.25  1468.8616
11  1   11  12  1   10  12  708.75  1403.1105
12  1   11  12  1   11  12  753.75  1266.3196
13  0   0   0   0   0   0   761.25  1247.4586
14  0   0   0   0   0   0   764.375  1238.9945
15  0   0   0   0   0   0   767.5  1229.7690
16  1   16  17  1   16  17  778.75  1173.4987
17  1   16  18  1   16  18  865.0  959.71075
18  1   17  18  1   17  18  885.0  930.86300
19  0   0   0   0   0   0   900.0  895.76700
20  0   0   0   0   0   0   940.0  826.40735
21  1   18  21  1   18  21  1020.0  699.70306
